"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"AAEL002622",0,0,"AAEL002622","0",-0.273459180368516
"AAEL022530",0.118469837217639,2.21835580687255,"AAEL022530","0",0.208861892818177
"AAEL025827",0.0515840816797794,1.00043497172684,"AAEL025827","0",0.340942261702931
"AAEL026159",0.0192108921694461,0.39147455415398,"AAEL026159","0",0.102793655553391
"AAEL017167",0,0,"AAEL017167","0",-0.250984678646198
"AAEL017048",0.617268421654034,8.65593736407133,"AAEL017048","0",1.20966972353205
"AAEL012796",1.65070061430597,21.2701174423662,"AAEL012796","0",-0.0886887355830631
"AAEL019821",2.87180689932565,30.2740321879078,"AAEL019821","0",0.0375842803061379
"AAEL022589",2.49822765259175,32.8403653762505,"AAEL022589","0",0.140027954807882
"AAEL021570",0,0,"AAEL021570","0",-0.176776695296637
"AAEL021100",12.0304379650877,71.6398434101783,"AAEL021100","0",-0.600017168952239
"AAEL018189",0.406063891006112,6.82905611135276,"AAEL018189","0",1.03741765601839
"AAEL017238",1.60165567476736,21.9660722053067,"AAEL017238","0",0.0407892377045157
"AAEL006832",0.0615018620894618,1.17442366246194,"AAEL006832","0",-0.18410208428746
"AAEL008461",0.273854136512422,5.61113527620705,"AAEL008461","0",0.086482335153054
"AAEL019621",0.0322062369766303,0.608960417572858,"AAEL019621","0",1.21018625842835
"AAEL017005",7.92030838824997,44.8020878642888,"AAEL017005","0",2.14766425828356
"AAEL005437",14.372186451447,78.5123966942149,"AAEL005437","0",0.511707985257449
"AAEL027822",0.19704407678248,3.39277946933449,"AAEL027822","0",-0.25558573097766
"AAEL026043",0.560635937662767,7.91648542844715,"AAEL026043","0",-0.411475573164966
"AAEL005834",4.03841462969715,39.4084384515007,"AAEL005834","0",-0.503039130486598
"AAEL022268",0.862088298601945,15.311004784689,"AAEL022268","0",-0.162057238976189
"AAEL003035",0.0158793634605098,0.347977381470204,"AAEL003035","0",-0.179324757791941
"AAEL022296",0.00955582769344597,0.260983036102653,"AAEL022296","0",-0.372708040674595
"AAEL013107",0.11562388904605,2.26185297955633,"AAEL013107","0",-0.299218192313646
"AAEL014053",0.0299895977388321,0.521966072205307,"AAEL014053","0",-0.235673590464953
"AAEL006957",0.0910939297738735,1.82688125271857,"AAEL006957","0",0.174369269047047
"AAEL006947",2.43915422696745,26.0113092648978,"AAEL006947","0",-0.18160841588124
"AAEL014428",0.281286784514722,5.6981296215746,"AAEL014428","0",-0.170730794771652
"AAEL018334",0.174079679154984,3.43627664201827,"AAEL018334","0",-0.194390464227193
"AAEL006077",4.76412593892893,48.6298390604611,"AAEL006077","0",0.140705589835372
"AAEL007644",0.0279064300206545,0.652457590256633,"AAEL007644","0",-0.2895222739202
"AAEL009311",1.16762814177576,19.2257503262288,"AAEL009311","0",-0.178396570591742
"AAEL005803",1.14486616838814,16.5289256198347,"AAEL005803","0",0.723197260044712
"AAEL027424",0.0725020791197208,1.43540669856459,"AAEL027424","0",0.00295393982348114
"AAEL019433",4.64233068951222,38.8429752066116,"AAEL019433","0",0.335892071161122
"AAEL004399",1.5851229310163,19.9217050891692,"AAEL004399","0",0.565802596343161
"AAEL004396",3.23205655529207,30.8829926054806,"AAEL004396","0",-0.194575877462439
"AAEL004398",0.135283811910585,2.52283601565898,"AAEL004398","0",0.155720738570499
"AAEL017160",0.554819113579157,8.87342322749021,"AAEL017160","0",-0.0601485318303735
"AAEL019927",0.165256455490265,2.91431056981296,"AAEL019927","0",-0.230141507831475
"AAEL019607",1.42535374801727,19.965202261853,"AAEL019607","0",1.29680573224085
"AAEL019437",5.21397526410974,49.804262722923,"AAEL019437","0",-0.155577650518569
"AAEL005952",7.36182537694096,63.4188777729448,"AAEL005952","0",-0.0157670013175202
