"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AAEL004583",0,1.78581518773447,0.953,0.14,0,"2","AAEL004583"
"AAEL028092",0,1.77098944581988,0.895,0.054,0,"2","AAEL028092"
"AAEL007191",0,1.71751812585638,0.822,0.083,0,"2","AAEL007191"
"AAEL012110",0,1.71593540199581,0.851,0.053,0,"2","AAEL012110"
"AAEL005950",0,1.71494390281714,0.883,0.068,0,"2","AAEL005950"
"AAEL010145",0,1.60434095668622,0.874,0.121,0,"2","AAEL010145"
"AAEL026043",0,1.48832014440065,0.792,0.112,0,"2","AAEL026043"
"AAEL027131",0,1.46558271607204,0.827,0.099,0,"2","AAEL027131"
"AAEL001299",0,1.40431849023056,0.751,0.091,0,"2","AAEL001299"
"AAEL009955",0,1.39672439191682,0.719,0.043,0,"2","AAEL009955"
"AAEL011109",0,1.24933772752923,0.594,0.03,0,"2","AAEL011109"
"AAEL018340",0,1.22513399174577,0.608,0.032,0,"2","AAEL018340"
"AAEL006487",0,1.2171131961193,0.596,0.027,0,"2","AAEL006487"
"AAEL019602",0,1.1894695665545,0.556,0.012,0,"2","AAEL019602"
"AAEL003184",0,1.1656299285682,0.55,0.024,0,"2","AAEL003184"
"AAEL004054",0,1.10613597515323,0.494,0.013,0,"2","AAEL004054"
"AAEL015458",0,1.07108298996335,0.459,0.011,0,"2","AAEL015458"
"AAEL001965",0,1.05708558409967,0.503,0.017,0,"2","AAEL001965"
"AAEL021576",4.76577838373206e-307,1.53752251376701,0.868,0.139,5.67842494421675e-303,"2","AAEL021576"
"AAEL004825",8.35552347411119e-298,1.07013609019683,0.544,0.043,9.95560621940348e-294,"2","AAEL004825"
"AAEL019708",1.10788232711255e-295,1.32556379513037,0.678,0.08,1.3200417927546e-291,"2","AAEL019708"
"AAEL019935",1.66834312713414e-291,1.24083261258065,0.667,0.073,1.98783083598033e-287,"2","AAEL019935"
"AAEL019845",6.25998164346885e-287,1.66719274337555,0.977,0.27,7.45876812819313e-283,"2","AAEL019845"
"AAEL021073",2.20164430066039e-257,1.45448091194718,0.939,0.255,2.62325918423685e-253,"2","AAEL021073"
"AAEL019694",5.67410009753318e-246,1.42391638416992,0.839,0.179,6.76069026621078e-242,"2","AAEL019694"
"AAEL019634",2.65293916346464e-237,1.24441135846097,0.626,0.086,3.16097701326812e-233,"2","AAEL019634"
"AAEL026193",4.72589508340821e-215,1.36013288423702,0.713,0.143,5.63090399188088e-211,"2","AAEL026193"
"AAEL001776",1.09136402340355e-201,1.18073243808191,0.746,0.15,1.30036023388533e-197,"2","AAEL001776"
"AAEL013279",1.20379247406195e-193,1.01267658366359,0.535,0.074,1.43431873284482e-189,"2","AAEL013279"
"AAEL005772",7.52639768946885e-188,1.02612116243367,0.459,0.052,8.96770284700213e-184,"2","AAEL005772"
"AAEL009658",4.22854160959351e-183,1.20163966841763,0.746,0.173,5.03830732783067e-179,"2","AAEL009658"
"AAEL007197",1.77609088616178e-182,1.25592507713932,0.708,0.149,2.11621229086177e-178,"2","AAEL007197"
"AAEL019426",5.15660595270493e-176,1.13278502492825,0.725,0.157,6.14409599264792e-172,"2","AAEL019426"
"AAEL002049",4.13654859913379e-174,1.15750665226503,0.693,0.153,4.9286976558679e-170,"2","AAEL002049"
"AAEL006412",3.77678937912441e-171,1.09099214883587,0.506,0.073,4.50004454522674e-167,"2","AAEL006412"
"AAEL020614",4.77898901495686e-169,1.15406718218558,0.833,0.251,5.6941654113211e-165,"2","AAEL020614"
"AAEL002253",2.01216180384587e-163,1.0193513616698,0.611,0.112,2.39749078928235e-159,"2","AAEL002253"
"AAEL019772",2.99725216525984e-160,1.1157696226808,0.749,0.204,3.5712259549071e-156,"2","AAEL019772"
"AAEL025245",2.85378167148027e-159,1.01348910828224,0.933,0.486,3.40028086156875e-155,"2","AAEL025245"
"AAEL018154",4.00337116940311e-128,1.05484127800196,0.722,0.21,4.7700167483438e-124,"2","AAEL018154"
"AAEL027150",1.63028694142646e-214,1.46857321473143,0.997,0.465,1.94248689070962e-210,"3","AAEL027150"
"AAEL010804",3.44069531076005e-157,1.12613956844732,0.921,0.401,4.0995884627706e-153,"3","AAEL010804"
"AAEL019691",1.22689882640839e-155,1.11376946972092,0.773,0.186,1.4618499516656e-151,"3","AAEL019691"
"AAEL007772",1.91088870814911e-148,1.08855822159759,0.957,0.489,2.27682389575967e-144,"3","AAEL007772"
