"","V1","V2","V3","V4","V5","V6","V7"
"34","AAEL0194372","30.8285474698508","73.0994152046784","AAEL019437","2","2.5","OG0000006"
"55","AAEL0194373","16.8706243275791","89.8026315789474","AAEL019437","3","1.59212041341108","OG0000006"
"190","AAEL01943715","9.66430806435815","63.5514018691589","AAEL019437","15","0.511667110517575","OG0000006"
"381","AAEL01943728","26.3031539454607","87.5","AAEL019437","28","2.5","OG0000006"
"46","AAEL0058343","12.8480474441813","85.5263157894737","AAEL005834","3","0.869783756834502","OG0000006"
"65","AAEL0058345","10.7781262740208","77.319587628866","AAEL005834","5","0.547223757208331","OG0000006"
"75","AAEL0058346","10.7414711877688","74.1007194244604","AAEL005834","6","0.541511721031208","OG0000006"
"101","AAEL0058349","16.2098554016798","92.3913043478261","AAEL005834","9","1.39366108566531","OG0000006"
"153","AAEL00583413","11.6675812770163","69.0476190476191","AAEL005834","13","0.685829328072399","OG0000006"
"207","AAEL00583417","11.6559862251907","79.3814432989691","AAEL005834","17","0.684022447710742","OG0000006"
"221","AAEL00583418","10.536052580315","71.5789473684211","AAEL005834","18","0.509500924244017","OG0000006"
"237","AAEL00583419","14.3920889880882","85.1063829787234","AAEL005834","19","1.11039487140501","OG0000006"
"340","AAEL00583426","27.9701566023574","92.8571428571429","AAEL005834","26","2.5","OG0000006"
"361","AAEL00583427","23.1568377799014","97.6190476190476","AAEL005834","27","2.4762233907547","OG0000006"
"8","AAEL019766","12.7556401842767","69.1170073945194","AAEL019766","0","0.880179702108735","OG0000006"
"25","AAEL0197661","11.7867528641225","83.3901192504259","AAEL019766","1","0.714418876837123","OG0000006"
"57","AAEL0197663","22.2389928885806","91.1184210526316","AAEL019766","3","2.5","OG0000006"
"114","AAEL0197669","20.2346436646541","91.8478260869565","AAEL019766","9","2.15971527175513","OG0000006"
"146","AAEL01976611","16.7014796461977","72.4358974358974","AAEL019766","11","1.55524850731639","OG0000006"
"231","AAEL01976618","20.3351500987086","89.4736842105263","AAEL019766","18","2.17691028412388","OG0000006"
"332","AAEL01976625","17.2086589414744","95.6521739130435","AAEL019766","25","1.64201861648901","OG0000006"
