"","V1","V2","V3","V4","V5","V6","V7"
"127","AAEL01727210","5.16669986403543","54.320987654321","AAEL017272","10","0.839292015487412","OG0000006"
"173","AAEL01727214","5.11358467936896","59.4594594594595","AAEL017272","14","0.815078499384805","OG0000006"
"229","AAEL01727218","6.78381350530771","57.8947368421053","AAEL017272","18","1.57648247125946","OG0000006"
"246","AAEL01727219","10.9778644448851","77.6595744680851","AAEL017272","19","2.5","OG0000006"
"277","AAEL01727221","8.08036359780401","73.8461538461539","AAEL017272","21","2.16753824447441","OG0000006"
"195","AAEL02512515","8.0883732032784","67.2897196261682","AAEL025125","15","0.817424870131039","OG0000006"
"232","AAEL02512518","9.1266472520676","58.9473684210526","AAEL025125","18","1.09126532934262","OG0000006"
"266","AAEL02512520","10.6953521684951","72.972972972973","AAEL025125","20","1.50500472231206","OG0000006"
"393","AAEL02512529","19.9819968959119","88.8888888888889","AAEL025125","29","2.5","OG0000006"
"424","AAEL02512531","11.519988736456","61.1111111111111","AAEL025125","31","1.72249918508558","OG0000006"
"41","AAEL0272422","19.6369703415478","75.7309941520468","AAEL027242","2","2.5","OG0000006"
"176","AAEL02724214","23.1387846284362","94.5945945945946","AAEL027242","14","2.5","OG0000006"
"196","AAEL02724215","9.7022816522807","57.9439252336449","AAEL027242","15","0.992418806440253","OG0000006"
"267","AAEL02724220","11.3533478381235","70.2702702702703","AAEL027242","20","1.2973846416882","OG0000006"
"304","AAEL02724223","7.93098773546681","41.9354838709677","AAEL027242","23","0.665245896327625","OG0000006"
"385","AAEL02724228","8.4790194426335","47.5","AAEL027242","28","0.766471969971142","OG0000006"
"425","AAEL02724231","9.53349179578998","38.8888888888889","AAEL027242","31","0.961241897841766","OG0000006"
"70","AAEL0198045","9.72712688271277","76.6323024054983","AAEL019804","5","2.5","OG0000006"
"83","AAEL0198046","5.53624029181008","52.158273381295","AAEL019804","6","2.22920628868574","OG0000006"
"175","AAEL01980414","4.51071312190108","54.0540540540541","AAEL019804","14","1.71305371490532","OG0000006"
"280","AAEL01980421","2.58096069239114","30.7692307692308","AAEL019804","21","0.741800380545643","OG0000006"
