p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.500047649520939,0.946,0.825,0,0,AAEL002769
4.31459918362194e-275,0.658826184817614,0.797,0.477,5.14084492728555e-271,0,AAEL026232
2.62907878447042e-226,0.343259682768948,0.973,0.824,3.13254737169651e-222,0,AAEL019983
1.08803736416782e-158,0.270870757039519,0.971,0.925,1.29639651940596e-154,0,AAEL020488
1.24631155766752e-136,0.496316755296482,0.687,0.428,1.48498022096085e-132,0,AAEL003861
7.0824378199537e-107,0.353657452778227,0.839,0.655,8.43872466247483e-103,0,AAEL024454
1.37877193060446e-102,0.415212116146126,0.609,0.386,1.64280675531521e-98,0,AAEL019720
2.06108362526742e-79,0.298057618931431,0.818,0.677,2.45578113950613e-75,0,AAEL020586
5.45703115356269e-74,0.432337190331471,0.346,0.171,6.50205261946994e-70,0,AAEL006615
6.59727661341394e-65,0.27160155470846,0.791,0.642,7.86065508488271e-61,0,AAEL010523
6.74768291531986e-56,0.290462045241643,0.723,0.56,8.03986419360361e-52,0,AAEL014102
1.77718521177681e-53,0.25630058362331,0.75,0.627,2.11751617983207e-49,0,AAEL019538
1.00404984214653e-42,0.267393605456626,0.691,0.55,1.19632538691759e-38,0,AAEL025552
3.96411578960704e-41,0.295992435304571,0.473,0.327,4.72324396331679e-37,0,AAEL026179
1.55292627323762e-38,0.281161212286674,0.403,0.273,1.85031165456262e-34,0,AAEL004918
9.34542572478004e-38,0.387078030159866,0.428,0.314,1.11350747510754e-33,0,AAEL024615
5.3668721521217e-36,0.267510689003185,0.615,0.47,6.39462816925301e-32,0,AAEL025638
1.5651229089256e-35,0.252942699087487,0.592,0.468,1.86484394598485e-31,0,AAEL020351
6.01876587328411e-35,0.256867703405485,0.627,0.504,7.17135953801802e-31,0,AAEL019454
9.26222861853104e-28,0.250590699615623,0.535,0.427,1.10359453989797e-23,0,AAEL019770
2.61210613680869e-26,0.262658963098383,0.482,0.382,3.11232446200755e-22,0,AAEL001207
3.47731778973168e-26,0.277060076818642,0.255,0.162,4.1432241464653e-22,0,AAEL021433
7.26641925700682e-23,0.264157280011222,0.448,0.373,8.65793854472363e-19,0,AAEL017005
4.32812912582053e-202,0.66034539110087,0.712,0.229,5.15696585341516e-198,1,AAEL006876
7.72250564667531e-168,0.558619578358962,0.593,0.176,9.20136547801363e-164,1,AAEL024269
1.15193065753142e-116,0.424339330885227,0.947,0.682,1.37252537844869e-112,1,AAEL019481
6.11113448197867e-116,0.591965077375297,0.601,0.261,7.28141673527759e-112,1,AAEL028011
1.43100187475345e-102,0.429872035257784,0.274,0.066,1.70503873376874e-98,1,AAEL001228
9.59683440092185e-99,0.484722924981955,0.872,0.542,1.14346281886984e-94,1,AAEL025552
5.7479740125309e-98,0.374721819366361,0.453,0.151,6.84871103593057e-94,1,AAEL019527
1.51796785605842e-90,0.324982838053493,0.366,0.113,1.80865870049361e-86,1,AAEL006169
4.33684048604087e-90,0.41445957164752,0.941,0.641,5.16734543911769e-86,1,AAEL010523
9.52072441680721e-90,0.276953109126199,0.996,0.839,1.13439431426258e-85,1,AAEL019918
8.10720256506776e-86,0.298738601272324,0.348,0.106,9.65973185627823e-82,1,AAEL001799
7.08928657635328e-83,0.359786253260191,0.514,0.195,8.44688495572494e-79,1,AAEL008090
2.87525675727035e-81,0.336996847138651,0.433,0.155,3.42586842628762e-77,1,AAEL025091
2.65220614818332e-80,0.325203641660198,0.457,0.166,3.16010362556042e-76,1,AAEL025680
6.89553925827528e-79,0.299124210364775,0.35,0.114,8.21603502623499e-75,1,AAEL010570
1.37916391439004e-78,0.417070828426125,0.57,0.25,1.64327380399573e-74,1,AAEL007319
6.73877648345881e-77,0.38043434842948,0.57,0.24,8.02925218004117e-73,1,AAEL011986
8.77238241411718e-77,0.262170840796961,0.987,0.848,1.04522936464206e-72,1,AAEL019983
5.00387052955789e-75,0.442233452377957,0.741,0.393,5.96211173596822e-71,1,AAEL012384
9.82237183134381e-75,0.376633134419556,0.514,0.213,1.17033560370461e-70,1,AAEL024641
3.82984124047892e-73,0.329381279165997,0.443,0.169,4.56325583803063e-69,1,AAEL021539
7.45332548504867e-72,0.319480515874504,0.48,0.188,8.88063731543549e-68,1,AAEL019601
1.50389213191291e-71,0.401268601621092,0.871,0.562,1.79188747517423e-67,1,AAEL014102
1.74836080393723e-71,0.297341565287745,0.419,0.155,2.08317189789121e-67,1,AAEL001005
2.49338044352865e-69,0.41415650681443,0.783,0.469,2.97086279846438e-65,1,AAEL024952
3.7505014358596e-69,0.427455112140584,0.716,0.392,4.46872246082671e-65,1,AAEL021419
4.60360637341394e-69,0.407624313522213,0.603,0.293,5.48519699392271e-65,1,AAEL014334
7.14666580138878e-69,0.362413582137858,0.532,0.23,8.51525230235473e-65,1,AAEL008909
2.42079971695231e-67,0.264175000601406,0.347,0.121,2.88438286274867e-63,1,AAEL002501
1.14749600457288e-66,0.308073813612923,0.423,0.164,1.36724148944859e-62,1,AAEL007200
1.49128337553599e-66,0.336379339684577,0.434,0.177,1.77686414195114e-62,1,AAEL017335
1.17278310044724e-65,0.351100098830737,0.505,0.223,1.39737106418288e-61,1,AAEL024560
1.93251594811159e-65,0.295496976677776,0.98,0.759,2.30259275217496e-61,1,AAEL010567
3.58014908597541e-65,0.413726868695883,0.785,0.496,4.2657476359397e-61,1,AAEL019454
3.67773397254122e-65,0.398184106229421,0.795,0.391,4.38202002828287e-61,1,AAEL019720
1.86689681158487e-64,0.402367493965394,0.825,0.502,2.22440755100337e-60,1,AAEL007278
3.88866874494238e-64,0.398889695089505,0.829,0.462,4.63334880959885e-60,1,AAEL019496
2.13690244564516e-63,0.279655310184136,0.435,0.171,2.54611926398621e-59,1,AAEL005285
6.58243005788272e-63,0.257973576407023,0.348,0.125,7.84296541396726e-59,1,AAEL013229
3.89296030642184e-62,0.348433336108188,0.641,0.291,4.63846220510162e-58,1,AAEL014523
6.30582919410723e-62,0.39324120860497,0.791,0.461,7.51339548477877e-58,1,AAEL009841
1.04589397747975e-61,0.306521298350379,0.505,0.213,1.24618267416712e-57,1,AAEL010819
2.39666524016073e-61,0.37923180451939,0.646,0.32,2.85562663365152e-57,1,AAEL022241
3.07917989113208e-61,0.365871221748891,0.629,0.307,3.66884284028387e-57,1,AAEL024713
6.68504055762211e-61,0.302028736513708,0.469,0.196,7.96522582440675e-57,1,AAEL001749
1.51313059668344e-60,0.362785294580679,0.49,0.223,1.80289510594832e-56,1,AAEL010041
3.08373254714988e-60,0.266912727778627,0.979,0.806,3.67426732992908e-56,1,AAEL020028
5.30802950856174e-60,0.320218709555769,0.452,0.193,6.32451715945132e-56,1,AAEL019491
5.77252216187264e-60,0.344422549915242,0.623,0.288,6.87796015587125e-56,1,AAEL019604
6.6668869876546e-60,0.398269331994894,0.746,0.415,7.94359584579046e-56,1,AAEL022003
8.78406204318221e-60,0.365898087957981,0.882,0.59,1.04662099244516e-55,1,AAEL024390
1.25785407147597e-59,0.281072516841124,0.339,0.128,1.49873312616362e-55,1,AAEL027399
1.53914932813087e-59,0.381184763990102,0.707,0.38,1.83389642446793e-55,1,AAEL002075
4.17481990312102e-59,0.391273111664088,0.784,0.44,4.9742979145687e-55,1,AAEL012640
7.52568465122983e-59,0.256942604672043,0.361,0.138,8.96685326194034e-55,1,AAEL022931
1.68321930730949e-58,0.366012963845704,0.607,0.304,2.00555580465926e-54,1,AAEL013758
1.94028149701156e-58,0.262974057377697,0.445,0.18,2.31184540368928e-54,1,AAEL023395
2.9571331653508e-58,0.310208640076594,0.399,0.165,3.52342416651548e-54,1,AAEL010907
3.86826219449077e-58,0.375879153567409,0.721,0.39,4.60903440473575e-54,1,AAEL000803
4.78684582857707e-58,0.340913918710331,0.549,0.259,5.70352680474958e-54,1,AAEL019744
4.99305739269978e-57,0.374110760046954,0.696,0.374,5.94922788340179e-53,1,AAEL003432
5.19975615714397e-57,0.288132788370481,0.493,0.213,6.19550946123704e-53,1,AAEL000641
9.89655761773115e-57,0.375718155079295,0.816,0.518,1.17917484015267e-52,1,AAEL021067
1.72358041824868e-56,0.253990110328009,0.438,0.178,2.0536460683433e-52,1,AAEL010941
2.29954936597756e-56,0.282370086879272,0.461,0.196,2.73991306956227e-52,1,AAEL017181
3.7726057287562e-56,0.367213813906807,0.716,0.387,4.49505972581301e-52,1,AAEL019805
1.27340864279229e-55,0.287271907463135,0.375,0.153,1.51726639788702e-51,1,AAEL011365
1.92916132911162e-55,0.375560460999963,0.721,0.406,2.2985957236365e-51,1,AAEL019653
2.53361667149758e-55,0.324254481643723,0.6,0.284,3.01880426408936e-51,1,AAEL002998
2.66825963707297e-55,0.320791863701479,0.435,0.192,3.17923135757244e-51,1,AAEL017445
6.48853111755023e-55,0.362899376482627,0.902,0.564,7.7310848265611e-51,1,AAEL026551
8.22896799627931e-55,0.274809532143077,0.42,0.177,9.8048153675668e-51,1,AAEL018687
8.59639707776347e-55,0.371660027598429,0.843,0.529,1.02426071181552e-50,1,AAEL019682
1.07997306935729e-54,0.276546023257713,0.388,0.159,1.28678791213921e-50,1,AAEL009729
1.67705826147064e-54,0.321241893549905,0.55,0.258,1.99821491854227e-50,1,AAEL025386
2.12293943912744e-54,0.355745478178686,0.595,0.305,2.52948234172035e-50,1,AAEL019433
2.13167112879085e-54,0.285033504834278,0.506,0.224,2.5398861499543e-50,1,AAEL001194
3.65093206914397e-54,0.276200475916756,0.475,0.206,4.35008556038504e-50,1,AAEL002411
3.70704798994724e-54,0.344998130239241,0.709,0.351,4.41694768002213e-50,1,AAEL012708
2.49788636108085e-53,0.300099993927493,0.486,0.222,2.97623159922783e-49,1,AAEL018228
5.97580019218953e-53,0.35892499959472,0.82,0.517,7.12016592899383e-49,1,AAEL022465
1.35174127145955e-52,0.32345538569487,0.918,0.66,1.61059972494405e-48,1,AAEL009763
1.60089591568653e-52,0.301706942162421,0.555,0.258,1.9074674835405e-48,1,AAEL010883
2.88820327251243e-52,0.339727729201383,0.595,0.308,3.44129419919856e-48,1,AAEL003378
3.30362685466693e-52,0.283084859494693,0.515,0.231,3.93627139733565e-48,1,AAEL019830
3.86660787405531e-51,0.334455939638338,0.67,0.336,4.6070632819369e-47,1,AAEL022310
4.33388663871427e-51,0.284170114409101,0.526,0.24,5.16382593002806e-47,1,AAEL004032
4.64076686724109e-51,0.251274700388895,0.453,0.195,5.52947372231776e-47,1,AAEL020390
4.73740653143515e-51,0.339809500742314,0.664,0.347,5.64461988220498e-47,1,AAEL019705
3.28689040135745e-50,0.369515828873782,0.318,0.138,3.9163299132174e-46,1,AAEL004992
3.83183435811044e-50,0.335266516285899,0.691,0.358,4.56563063768859e-46,1,AAEL005619
4.04190813813102e-50,0.33361628556728,0.96,0.664,4.81593354658311e-46,1,AAEL005633
4.71935123114411e-50,0.326579485832702,0.664,0.331,5.62310699190821e-46,1,AAEL025977
1.12885284063555e-49,0.2715708023362,0.507,0.23,1.34502815961726e-45,1,AAEL008824
1.1776018601072e-49,0.261353856715305,0.397,0.172,1.40311261631773e-45,1,AAEL003322
1.44440737390146e-49,0.366839636248691,0.758,0.469,1.72101138600359e-45,1,AAEL025638
1.99699423170972e-49,0.347086374348238,0.856,0.531,2.37941862708213e-45,1,AAEL023985
3.7988040014907e-49,0.269309814224614,0.988,0.789,4.52627496777617e-45,1,AAEL024181
4.8583542024232e-49,0.321198070453884,0.648,0.321,5.78872903218724e-45,1,AAEL000474
7.89978136480648e-49,0.282799693742053,0.541,0.253,9.41258949616692e-45,1,AAEL002881
1.03990618637462e-48,0.252364780230072,0.356,0.149,1.23904822106536e-44,1,AAEL020016
2.34292298616999e-48,0.276204217546922,0.471,0.217,2.79159273802154e-44,1,AAEL020954
3.47689571785344e-48,0.288110887969653,0.417,0.192,4.14272124782238e-44,1,AAEL019811
3.82306577146688e-48,0.314492736088533,0.612,0.304,4.55518286670279e-44,1,AAEL000176
7.72558797378264e-48,0.344384912414978,0.845,0.537,9.20503807076202e-44,1,AAEL019702
1.0312125412256e-47,0.350372919791083,0.821,0.479,1.2286897428703e-43,1,AAEL011563
1.19476953595074e-47,0.318196247023735,0.674,0.335,1.42356790208531e-43,1,AAEL024147
2.15415050478247e-47,0.324909466070503,0.625,0.324,2.56667032644831e-43,1,AAEL012998
2.52528983957055e-47,0.344592594988472,0.779,0.453,3.00888284384831e-43,1,AAEL025125
2.57105369967518e-47,0.316025191353843,0.629,0.319,3.06341048316298e-43,1,AAEL003047
1.52878746130063e-46,0.339101694434428,0.769,0.415,1.8215502601397e-42,1,AAEL004006
3.27124332230016e-46,0.341931416924015,0.629,0.353,3.89768641852064e-42,1,AAEL017005
3.60115508790524e-46,0.276502831867272,0.528,0.253,4.2907762872391e-42,1,AAEL001394
6.3312199294673e-46,0.312395879889011,0.647,0.322,7.54364854596029e-42,1,AAEL018254
1.17007402898871e-45,0.339819481353584,0.827,0.556,1.39414320554005e-41,1,AAEL007664
1.5238190074737e-45,0.295001066161072,0.493,0.243,1.81563034740491e-41,1,AAEL024145
6.45548359556533e-45,0.274032025051742,0.552,0.262,7.6917087041161e-41,1,AAEL020972
1.26347623053228e-44,0.259711379551678,0.436,0.204,1.50543192867922e-40,1,AAEL017238
2.5348005111726e-44,0.280120792847132,0.923,0.725,3.02021480906215e-40,1,AAEL022485
4.30063171868675e-44,0.326914377151394,0.838,0.552,5.12420269281526e-40,1,AAEL000504
4.38829780396838e-44,0.287319419454918,0.516,0.255,5.22865683342832e-40,1,AAEL019765
4.74861624005264e-44,0.304379040872783,0.554,0.288,5.65797625002272e-40,1,AAEL004777
5.94982198085831e-44,0.338727473900944,0.815,0.509,7.08921289019268e-40,1,AAEL002724
6.89647839480242e-44,0.300420810591229,0.644,0.323,8.21715400740708e-40,1,AAEL005479
7.5851952047653e-44,0.411850469222761,0.537,0.314,9.03776008647785e-40,1,AAEL024615
2.47008953745736e-43,0.290293834686955,0.584,0.297,2.94311168388044e-39,1,AAEL020008
3.41461647284523e-43,0.32006854787221,0.656,0.357,4.06851552739509e-39,1,AAEL002692
4.80017970285742e-43,0.332350478982935,0.783,0.449,5.71941411595462e-39,1,AAEL023104
9.52067880285616e-43,0.313561786208343,0.864,0.586,1.13438887936031e-38,1,AAEL020087
1.19938846660559e-42,0.33065899922222,0.888,0.578,1.42907135796056e-38,1,AAEL024490
1.33438633882214e-42,0.33217528743647,0.704,0.416,1.58992132270658e-38,1,AAEL005971
1.40147795850819e-42,0.296899597850683,0.651,0.329,1.6698609875625e-38,1,AAEL011654
2.60996136490802e-42,0.288029547170466,0.515,0.263,3.10976896628791e-38,1,AAEL024336
7.40727238056387e-42,0.355280148921942,0.655,0.392,8.82576504144186e-38,1,AAEL001181
7.89004834982443e-42,0.331761572280622,0.888,0.561,9.40099260881581e-38,1,AAEL000597
1.96443564249497e-41,0.316289753730938,0.645,0.36,2.34062506803276e-37,1,AAEL003301
2.23899773627205e-41,0.259605725048463,0.549,0.265,2.66776580276815e-37,1,AAEL010347
6.34134305496876e-41,0.278856858999311,0.947,0.729,7.55571024999527e-37,1,AAEL009761
6.78867044924637e-41,0.325104148495243,0.773,0.458,8.08870084027706e-37,1,AAEL009637
7.5476059019378e-41,0.295308815161877,0.448,0.228,8.99297243215889e-37,1,AAEL000576
9.02085539535833e-41,0.31850120821087,0.657,0.367,1.07483492035694e-36,1,AAEL024268
1.37560204576081e-40,0.261981682774617,0.599,0.297,1.63902983752401e-36,1,AAEL013139
1.64665688441905e-40,0.278968704633544,0.589,0.299,1.9619916777853e-36,1,AAEL018298
2.26966986819171e-40,0.265465832435465,0.486,0.241,2.70431164795042e-36,1,AAEL025006
3.30578361746092e-40,0.327572759088502,0.803,0.493,3.93884118020469e-36,1,AAEL021479
3.56935032148932e-40,0.323605986992171,0.798,0.456,4.25288090805452e-36,1,AAEL017012
5.45354477992853e-40,0.252098945149767,0.493,0.24,6.49789860528485e-36,1,AAEL023322
1.15350496115423e-39,0.290224038776612,0.654,0.346,1.37440116121527e-35,1,AAEL012513
1.86369465326037e-39,0.271567189621391,0.524,0.27,2.22059217935973e-35,1,AAEL006947
1.92290917517363e-39,0.314385755071282,0.81,0.554,2.29114628221938e-35,1,AAEL019407
4.50557827770967e-39,0.292561078975119,0.927,0.655,5.36839651789107e-35,1,AAEL025782
4.51587033689321e-39,0.262731494423163,0.581,0.291,5.38065950640826e-35,1,AAEL003743
5.48723484781948e-39,0.311267856809656,0.817,0.544,6.53804032117691e-35,1,AAEL023374
6.39372356552942e-39,0.276871384107422,0.937,0.707,7.6181216283283e-35,1,AAEL019495
6.57931206063705e-39,0.286223446655876,0.494,0.259,7.83925032024905e-35,1,AAEL002011
6.8616451109593e-39,0.255444060956141,0.312,0.142,8.17565014970801e-35,1,AAEL008031
1.1475901395248e-38,0.274381730539721,0.922,0.695,1.36735365124379e-34,1,AAEL018149
1.33846131840757e-38,0.294364747653203,0.658,0.365,1.59477666088262e-34,1,AAEL021138
1.5274668229025e-38,0.320962177151782,0.846,0.537,1.81997671948833e-34,1,AAEL023379
1.72943528831116e-38,0.306510158368942,0.724,0.409,2.06062214602275e-34,1,AAEL005243
2.67655353282835e-38,0.291238157687721,0.601,0.329,3.18911353436498e-34,1,AAEL026179
4.12242503901702e-38,0.313171381857257,0.797,0.542,4.91186943398878e-34,1,AAEL000671
4.72379966519586e-38,0.317319901719726,0.792,0.45,5.62840730108087e-34,1,AAEL006809
1.42153664153551e-37,0.27481209970596,0.619,0.321,1.69376090838956e-33,1,AAEL006675
2.0219554436506e-37,0.299766853182447,0.722,0.405,2.4091599111097e-33,1,AAEL019505
2.11572997242901e-37,0.308068057183969,0.72,0.427,2.52089226214917e-33,1,AAEL027400
2.16719342720169e-37,0.282844146803869,0.652,0.344,2.58221096851082e-33,1,AAEL026945
2.36621150363952e-37,0.313003601396178,0.782,0.554,2.81934100658649e-33,1,AAEL011234
3.35805969482176e-37,0.316908455090336,0.827,0.496,4.00112812638013e-33,1,AAEL006822
3.92039950089419e-37,0.283849856249688,0.642,0.343,4.67115600531543e-33,1,AAEL026354
4.37343497586782e-37,0.311889495805183,0.76,0.458,5.21094777374651e-33,1,AAEL020351
7.21385336945157e-37,0.278334681699048,0.417,0.214,8.59530628970155e-33,1,AAEL004233
2.6101880564726e-36,0.299640907054712,0.873,0.603,3.1100390692871e-32,1,AAEL019709
3.1034470610059e-36,0.260464147649065,0.582,0.303,3.69775717318853e-32,1,AAEL006921
3.29963565775286e-36,0.260217820254212,0.591,0.309,3.93151588621253e-32,1,AAEL014550
3.71396991292569e-36,0.28009812068278,0.566,0.309,4.42519515125096e-32,1,AAEL025824
4.82359450981701e-36,0.311605277379721,0.75,0.479,5.74731285844697e-32,1,AAEL022551
6.41565665077229e-36,0.251202397839017,0.504,0.261,7.64425489939519e-32,1,AAEL019821
8.41962997419918e-36,0.306233714708427,0.822,0.507,1.00319891142583e-31,1,AAEL001894
1.78030847843109e-35,0.31277940751572,0.85,0.522,2.12123755205065e-31,1,AAEL009266
2.64905586143953e-35,0.26675557717512,0.665,0.35,3.1563500589052e-31,1,AAEL025076
3.89216010814285e-35,0.293409689859938,0.725,0.408,4.63750876885221e-31,1,AAEL017499
4.03083583409876e-35,0.283228780136206,0.634,0.359,4.80274089632867e-31,1,AAEL019608
4.52235238654255e-35,0.270593301896795,0.665,0.348,5.38838286856545e-31,1,AAEL019473
5.72373911499837e-35,0.262598779025117,0.572,0.307,6.81983515552056e-31,1,AAEL005612
1.14062481037172e-34,0.293106588698665,0.883,0.611,1.35905446155791e-30,1,AAEL006394
1.62756181011336e-34,0.288914790872907,0.725,0.414,1.93923989675007e-30,1,AAEL006432
1.9234778549807e-34,0.287305217457857,0.684,0.395,2.2918238642095e-30,1,AAEL019928
3.46570101346913e-34,0.301299958984709,0.818,0.504,4.12938275754846e-30,1,AAEL019992
3.7093745778456e-34,0.262517472994257,0.647,0.342,4.41971980950304e-30,1,AAEL019623
4.08324722899135e-34,0.305108610359666,0.85,0.539,4.8651890733432e-30,1,AAEL011332
4.70569082617164e-34,0.268879549354764,0.334,0.168,5.60683061938351e-30,1,AAEL003551
1.05670971762833e-33,0.291824948151592,0.773,0.501,1.25906962855415e-29,1,AAEL022718
1.06684262166562e-33,0.281315495430174,0.704,0.403,1.27114298371459e-29,1,AAEL013159
1.39761671770701e-33,0.269354139827441,0.645,0.348,1.6652603191479e-29,1,AAEL010710
1.91037474483844e-33,0.271071004954639,0.584,0.322,2.276211508475e-29,1,AAEL018146
