"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled","OG"
"Dop2R",42.8077099303328,85.789222699094,"Dop2R","0",0.810331132908753,"[OG0000006]"
"Cirl",1.67918972155923,35.7653791130186,"Cirl","0",0.957162495922802,"[OG0000027]"
"mGluR",1.45063391438922,27.515498330949,"mGluR","0",0.79377042500329,"[OG0000067]"
"Ac3",1.8225158134727,39.3538388173581,"Ac3","0",0.686083285404475,"[OG0000187]"
"CG12004",2.2889062748552,47.2103004291845,"CG12004","0",0.853783422133807,"[OG0000897]"
"CG15270",1.24062098368475,28.6480686695279,"CG15270","0",0.520519315961213,"[OG0000961]"
"schlank",1.71389632395184,38.5431568907964,"schlank","0",0.520544143050471,"[OG0001084]"
"CG1265",0.915081717905974,25.4291845493562,"CG1265","0",0.747491545621059,"[OG0002004]"
"CG31998",1.32951886695197,30.5555555555556,"CG31998","0",1.06435980940097,"[OG0023874]"
"Dop2R1",52.8730151772219,90.9847434119279,"Dop2R","1",1.2321277823088,"[OG0000006]"
"Cirl1",1.71299233869626,40.3606102635229,"Cirl","1",1.02010453773186,"[OG0000027]"
"mGluR1",1.58097550935906,34.7202958853444,"mGluR","1",0.962582453724045,"[OG0000067]"
"Ac31",1.79134790719454,43.3194637078132,"Ac3","1",0.636499690950022,"[OG0000187]"
"AdipoR1",1.61133198309952,42.1405455386038,"AdipoR","1",0.556795561876326,"[OG0000706]"
"CG120041",2.42548546524752,54.3920480813685,"CG12004","1",1.09964866044658,"[OG0000897]"
"CG12651",0.966610535581365,29.5654184003699,"CG1265","1",0.947490978298739,"[OG0002004]"
"Surf41",1.11367814991039,32.339343504392,"Surf4","1",0.600586683991188,"[OG0002518]"
"Dop2R2",39.2937228942899,84.1562269712601,"Dop2R","2",0.663074003444529,"[OG0000006]"
"mGluR2",1.29603853673289,29.7347089167281,"mGluR","2",0.593546088796151,"[OG0000067]"
"CG120042",2.10633157347673,49.8157700810612,"CG12004","2",0.525118620890225,"[OG0000897]"
"CG12652",0.932180599670194,29.8820928518791,"CG1265","2",0.813857645340439,"[OG0002004]"
"DopEcR3",9.23674645421475,77,"DopEcR","3",0.654022219422599,"[OG0000006]"
"GABA-B-R13",5.5691530891454,64.1363636363636,"GABA-B-R1","3",0.783998926096782,"[OG0000127]"
"fz23",5.57251540743804,56.1818181818182,"fz2","3",0.827945593036332,"[OG0000195]"
