"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"spab",0,1.21436323375333,0.378,0.178,0,"0","spab"
"pros",0,1.18511204454838,0.825,0.672,0,"0","pros"
"CG31221",0,1.17155564080633,0.873,0.68,0,"0","CG31221"
"dati",0,1.1198493354631,0.548,0.262,0,"0","dati"
"jeb",0,1.09371815395855,0.776,0.558,0,"0","jeb"
"Lim1",0,1.01997497352256,0.357,0.143,0,"0","Lim1"
"VGlut",0,1.69085829224295,0.86,0.295,0,"1","VGlut"
"CG32017",0,1.54023281150228,0.912,0.547,0,"1","CG32017"
"Nplp1",0,1.37074954911354,0.526,0.154,0,"1","Nplp1"
"CG184671",0,1.33701387401184,0.665,0.309,0,"1","CG18467"
"CG22691",0,1.07896914710885,0.954,0.74,0,"1","CG2269"
"IA-21",0,1.00242374586394,0.997,0.873,0,"1","IA-2"
"Hsp27",1.09712786686511e-103,1.00981844054614,0.277,0.154,1.3753594939021e-99,"1","Hsp27"
"Hsp26",2.51871097292232e-95,1.05079269831587,0.483,0.326,3.15745607565542e-91,"1","Hsp26"
"Hsp23",1.3504551277205e-93,1.50572831631469,0.31,0.188,1.69293054811041e-89,"1","Hsp23"
"CG14989",0,3.47168281835113,0.915,0.319,0,"2","CG14989"
"Gad1",0,2.91485042338564,0.859,0.12,0,"2","Gad1"
"CG320171",0,1.2378269997737,0.907,0.564,0,"2","CG32017"
"VGAT",0,1.22955451635902,0.585,0.166,0,"2","VGAT"
"CG9650",0,1.56205306897027,0.555,0.172,0,"3","CG9650"
"toy",0,1.5434913197544,0.675,0.262,0,"3","toy"
"scro",0,1.36529642975631,0.536,0.19,0,"3","scro"
"VAChT1",0,1.0607339894277,0.894,0.529,0,"3","VAChT"
"SoxN",7.15832417068613e-127,1.09207934620128,0.435,0.237,8.97367518037213e-123,"3","SoxN"
"beat-Ic",3.73659138890854e-86,1.16415061687309,0.472,0.33,4.68419096513575e-82,"3","beat-Ic"
"dpr17",4.14037609569109e-49,1.00314170158117,0.376,0.269,5.19037547355836e-45,"3","dpr17"
"CG9394",0,5.43087539286589,0.877,0.17,0,"4","CG9394"
"CG31705",0,5.32982311732539,0.82,0.09,0,"4","CG31705"
"Gat",0,5.20390135557109,0.804,0.119,0,"4","Gat"
"Gs2",0,4.65879697357177,0.94,0.266,0,"4","Gs2"
"CG1552",0,4.58901240827429,0.922,0.187,0,"4","CG1552"
"alrm",0,4.45984773497292,0.805,0.111,0,"4","alrm"
"CG13631",0,4.36510742242243,0.745,0.057,0,"4","CG13631"
"CG15209",0,4.30479251749209,0.87,0.137,0,"4","CG15209"
"CG43693",0,4.17557014712508,0.72,0.044,0,"4","CG43693"
"CAH1",0,4.16824143164001,0.871,0.147,0,"4","CAH1"
"Act79B",0,3.92349081810548,0.283,0.011,0,"4","Act79B"
"CG1537",0,3.85141940527118,0.669,0.051,0,"4","CG1537"
"Eaat1",0,3.76041653736676,0.724,0.078,0,"4","Eaat1"
"Treh",0,3.68276082276218,0.767,0.114,0,"4","Treh"
"CG7607",0,3.65813241433153,0.91,0.16,0,"4","CG7607"
"ogre",0,3.65393311347122,0.758,0.07,0,"4","ogre"
"CG14141",0,3.61324335056092,0.821,0.093,0,"4","CG14141"
"Msr-110",0,3.60877340529628,0.894,0.119,0,"4","Msr-110"
"Tsp5D",0,3.53543976419806,0.683,0.07,0,"4","Tsp5D"
"CG4409",0,3.52423101368917,0.825,0.116,0,"4","CG4409"
"Rh50",0,3.44108059909333,0.727,0.069,0,"4","Rh50"
"wun2",0,3.25387113661233,0.532,0.025,0,"4","wun2"
"rho",0,3.25033827789516,0.641,0.133,0,"4","rho"
"e",0,3.11807058454262,0.486,0.019,0,"4","e"
"GstE2",0,3.11658826012707,0.702,0.061,0,"4","GstE2"
"CG1545",0,3.10628075209587,0.633,0.063,0,"4","CG1545"
"vir-1",0,3.10448232036028,0.796,0.096,0,"4","vir-1"
"Adgf-D",0,3.05190955950654,0.55,0.067,0,"4","Adgf-D"
"bbc",0,2.98782861150062,0.65,0.279,0,"4","bbc"
"CG7888",0,2.98606769245191,0.763,0.077,0,"4","CG7888"
"GstD3",0,2.96891478050572,0.463,0.03,0,"4","GstD3"
"MRE16",0,2.96225845878241,0.997,0.914,0,"4","MRE16"
"Cyp28a5",0,2.9462084932888,0.54,0.042,0,"4","Cyp28a5"
"Inx2",0,2.87258341826834,0.566,0.052,0,"4","Inx2"
"Chd64",0,2.8010028616345,0.701,0.283,0,"4","Chd64"
"CG12730",0,2.74336255213106,0.589,0.091,0,"4","CG12730"
"GstE1",0,2.72298268490055,0.505,0.035,0,"4","GstE1"
"bdl",0,2.6888664145292,0.587,0.062,0,"4","bdl"
"mfas",0,2.66034807846543,0.564,0.043,0,"4","mfas"
"CG8369",0,2.65511771306446,0.954,0.346,0,"4","CG8369"
"Cyp4g15",0,2.64950283667792,0.53,0.041,0,"4","Cyp4g15"
"CG10433",0,2.63342350950652,0.677,0.085,0,"4","CG10433"
"nrv2",0,2.55049282689295,0.855,0.28,0,"4","nrv2"
"AnxB9",0,2.53528031970336,0.574,0.068,0,"4","AnxB9"
"RpL22",0,2.52667018762786,0.752,0.303,0,"4","RpL22"
"CG14688",0,2.52184157356436,0.446,0.047,0,"4","CG14688"
