"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"Pharaoh-ant-08113",3.71689408591499,40.8777429467085,"Pharaoh-ant-08113","0",0.666768303648331
"Pharaoh-ant-13000",4.52498089224791,45.2664576802508,"Pharaoh-ant-13000","0",1.81670088692434
"Pharaoh-ant-174691",6.78686301518712,30.327868852459,"Pharaoh-ant-17469","1",0.659636194407753
"Pharaoh-ant-080532",1.82965864794263,27.6853252647504,"Pharaoh-ant-08053","2",0.710165640852352
"Pharaoh-ant-150892",5.03641371760691,58.0937972768533,"Pharaoh-ant-15089","2",1.1195599663713
"Pharaoh-ant-173902",6.40515359677374,61.7246596066566,"Pharaoh-ant-17390","2",1.34238779901937
"Pharaoh-ant-174692",6.50666067533909,67.2465960665658,"Pharaoh-ant-17469","2",0.509519231700713
"Pharaoh-ant-150893",4.40154873918668,30.6846999154691,"Pharaoh-ant-15089","3",0.680980941843202
"Pharaoh-ant-173903",5.57669737563697,36.6018596787828,"Pharaoh-ant-17390","3",0.944673969149375
"Pharaoh-ant-174693",6.60171776367359,43.956043956044,"Pharaoh-ant-17469","3",0.560445577969948
"Pharaoh-ant-073704",36.4945721487253,98.1949458483755,"Pharaoh-ant-07370","4",0.661959198754227
"Pharaoh-ant-081134",3.64479344491566,49.9097472924188,"Pharaoh-ant-08113","4",0.561301605683472
"Pharaoh-ant-120514",11.3978455468721,82.6714801444043,"Pharaoh-ant-12051","4",0.701952604722445
"Pharaoh-ant-130004",3.30935334668014,46.4801444043321,"Pharaoh-ant-13000","4",0.586421992698512
"Pharaoh-ant-150894",4.35118715417223,52.4368231046931,"Pharaoh-ant-15089","4",0.646190024750423
"Pharaoh-ant-170954",4.16239309594092,48.014440433213,"Pharaoh-ant-17095","4",0.729308451852126
"Pharaoh-ant-174694",6.73811877915361,67.9602888086643,"Pharaoh-ant-17469","4",0.633521720607165
"Pharaoh-ant-139765",2.07047321590381,28.9592760180996,"Pharaoh-ant-13976","5",1.56573017718582
"Pharaoh-ant-150895",4.59557818489544,46.4253393665158,"Pharaoh-ant-15089","5",0.815020852566309
"Pharaoh-ant-156435",3.26885432737891,35.4751131221719,"Pharaoh-ant-15643","5",0.756326193962392
"Pharaoh-ant-079916",2.50104136653742,25.024727992087,"Pharaoh-ant-07991","6",0.599314777393714
"Pharaoh-ant-080536",2.05628464795318,25.3214638971316,"Pharaoh-ant-08053","6",1.04452643890881
"Pharaoh-ant-150896",5.08086379728291,48.5657764589515,"Pharaoh-ant-15089","6",1.15026708244661
"Pharaoh-ant-028738",3.83058512245387,40.8016443987667,"Pharaoh-ant-02873","8",0.699441412186992
"Pharaoh-ant-081138",4.0645007395015,45.5292908530319,"Pharaoh-ant-08113","8",1.17523709721594
"Pharaoh-ant-096398",2.83955267553404,34.8406988694759,"Pharaoh-ant-09639","8",0.748449357588529
"Pharaoh-ant-156438",3.5524835519675,37.3072970195272,"Pharaoh-ant-15643","8",0.961232996735845
