"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pharaoh-ant-07853",0,1.83231926747231,0.959,0.57,0,"0","Pharaoh-ant-07853"
"Pharaoh-ant-17185",0,1.82170174092817,0.72,0.284,0,"0","Pharaoh-ant-17185"
"Pharaoh-ant-13673",0,1.76715722688493,0.628,0.173,0,"0","Pharaoh-ant-13673"
"Pharaoh-ant-00635",0,1.74215270881648,0.89,0.492,0,"0","Pharaoh-ant-00635"
"Pharaoh-ant-07228",0,1.7344116843973,0.566,0.153,0,"0","Pharaoh-ant-07228"
"Pharaoh-ant-14903",0,1.68147306924704,0.735,0.248,0,"0","Pharaoh-ant-14903"
"Pharaoh-ant-02776",0,1.66378404517117,0.866,0.369,0,"0","Pharaoh-ant-02776"
"Pharaoh-ant-15844",0,1.64557923045588,0.639,0.197,0,"0","Pharaoh-ant-15844"
"Pharaoh-ant-18152",0,1.41082395157126,0.532,0.144,0,"0","Pharaoh-ant-18152"
"Pharaoh-ant-17376",0,1.35753035746901,0.598,0.202,0,"0","Pharaoh-ant-17376"
"Pharaoh-ant-14194",0,1.27951511872702,0.56,0.175,0,"0","Pharaoh-ant-14194"
"Pharaoh-ant-11251",2.7059508271416e-306,1.54984606138691,0.433,0.112,3.29801286812019e-302,"0","Pharaoh-ant-11251"
"Pharaoh-ant-07640",1.84573664698572e-279,1.21268066033022,0.697,0.301,2.2495838253462e-275,"0","Pharaoh-ant-07640"
"Pharaoh-ant-11309",7.91371024389876e-258,1.07278393174593,0.591,0.217,9.64523004526381e-254,"0","Pharaoh-ant-11309"
"Pharaoh-ant-12378",6.86075850359773e-255,0.501405149879654,0.694,0.29,8.36189246418492e-251,"0","Pharaoh-ant-12378"
"Pharaoh-ant-20028",9.01036093982263e-222,1.30982831634405,0.803,0.495,1.09818279134558e-217,"0","Pharaoh-ant-20028"
"Pharaoh-ant-07603",4.39515714467827e-221,1.26439631308076,0.736,0.396,5.35681752793387e-217,"0","Pharaoh-ant-07603"
"Pharaoh-ant-01569",6.90493844478197e-216,1.46994945660722,0.646,0.314,8.41573897650026e-212,"0","Pharaoh-ant-01569"
"Pharaoh-ant-15843",8.32869707249044e-198,1.16268609517136,0.373,0.114,1.01510159919513e-193,"0","Pharaoh-ant-15843"
"Pharaoh-ant-08464",7.90557109033131e-197,1.04443634247627,0.441,0.15,9.6353100448958e-193,"0","Pharaoh-ant-08464"
"Pharaoh-ant-05126",8.89942192582775e-186,1.17228687425763,0.734,0.432,1.08466154431989e-181,"0","Pharaoh-ant-05126"
"Pharaoh-ant-18153",1.50324087489994e-169,0.936276651381202,0.263,0.068,1.83214997832804e-165,"0","Pharaoh-ant-18153"
"Pharaoh-ant-09780",2.20701316105566e-164,1.11882637897951,0.539,0.248,2.68990764069464e-160,"0","Pharaoh-ant-09780"
