"","V1","V2","V3","V4","V5","V6","V7"
"7","Pharaoh-ant-173902","6.40515359677374","61.7246596066566","Pharaoh-ant-17390","2","1.34238779901937","OG0000006"
"10","Pharaoh-ant-173903","5.57669737563697","36.6018596787828","Pharaoh-ant-17390","3","0.944673969149375","OG0000006"
"29","Pharaoh-ant-173908","6.63258273653692","55.2929085303186","Pharaoh-ant-17390","8","1.45156884189348","OG0000006"
"32","Pharaoh-ant-173909","5.24407010708179","31.0793237971391","Pharaoh-ant-17390","9","0.784990860348819","OG0000006"
"88","Pharaoh-ant-1739016","6.34328735818075","53.75","Pharaoh-ant-17390","16","1.31268790895553","OG0000006"
"112","Pharaoh-ant-1739019","12.0491054241576","59.7662771285476","Pharaoh-ant-17390","19","2.5","OG0000006"
"115","Pharaoh-ant-1739020","6.8036975154584","59.4594594594595","Pharaoh-ant-17390","20","1.53371526355815","OG0000006"
"118","Pharaoh-ant-1739022","4.6737286850583","42.436974789916","Pharaoh-ant-17390","22","0.511189221228752","OG0000006"
"141","Pharaoh-ant-1739025","7.05746781624015","51.6795865633075","Pharaoh-ant-17390","25","1.65554180750356","OG0000006"
"164","Pharaoh-ant-1739028","5.2406601854297","41.5512465373961","Pharaoh-ant-17390","28","0.783353872219325","OG0000006"
"219","Pharaoh-ant-1739037","5.84838177202748","42.5675675675676","Pharaoh-ant-17390","37","1.07510046489845","OG0000006"
"145","Pharaoh-ant-0066326","2.05334618369107","26.3297872340426","Pharaoh-ant-00663","26","1.86484237108562","OG0000006"
"182","Pharaoh-ant-0066332","2.44962499646104","31.7757009345794","Pharaoh-ant-00663","32","2.48126563597865","OG0000006"
"188","Pharaoh-ant-0066333","1.97671047162958","25.3731343283582","Pharaoh-ant-00663","33","1.74563328315549","OG0000006"
"235","Pharaoh-ant-0066341","2.81086026793056","25.6","Pharaoh-ant-00663","41","2.5","OG0000006"
"253","Pharaoh-ant-0066344","2.19170592257725","25.9259259259259","Pharaoh-ant-00663","44","2.080064985128","OG0000006"
