"","V1","V2","V3","V4","V5","V6","V7"
"23","DopEcR3","9.23674645421475","77","DopEcR","3","0.654022219422599","[OG0000006]"
"30","DopEcR5","8.94458697111834","90.8653846153846","DopEcR","5","0.57647337118341","[OG0000006]"
"104","DopEcR15","11.5914751640817","84.6867749419954","DopEcR","15","1.27904557115708","[OG0000006]"
"119","DopEcR17","10.353457658523","77.4271844660194","DopEcR","17","0.950434530917995","[OG0000006]"
"154","DopEcR21","9.38999594820953","81.3609467455621","DopEcR","21","0.694699734410575","[OG0000006]"
"198","DopEcR26","11.0227849443232","84.0909090909091","DopEcR","26","1.12809626401921","[OG0000006]"
"210","DopEcR28","15.6929995505777","92.1232876712329","DopEcR","28","2.3677266190105","[OG0000006]"
"213","DopEcR29","11.1791819155567","67.4911660777385","DopEcR","29","1.1696092241967","[OG0000006]"
"221","DopEcR30","10.3472594439934","76.7272727272727","DopEcR","30","0.948789318540099","[OG0000006]"
"249","DopEcR33","12.0971253180815","87.109375","DopEcR","33","1.41326194722357","[OG0000006]"
"313","DopEcR41","12.0104937226183","89.7560975609756","DopEcR","41","1.39026703917509","[OG0000006]"
"328","DopEcR44","12.1337328786583","94.8571428571429","DopEcR","44","1.42297881189449","[OG0000006]"
"361","DopEcR46","10.6383082413866","78.0487804878049","DopEcR","46","1.02604335383626","[OG0000006]"
"397","DopEcR49","10.306163258587","88.8111888111888","DopEcR","49","0.937881023483181","[OG0000006]"
"408","DopEcR50","9.38778791366409","80.7407407407407","DopEcR","50","0.694113648571239","[OG0000006]"
"421","DopEcR51","16.038797418551","92.8571428571429","DopEcR","51","2.45951287937997","[OG0000006]"
"553","DopEcR60","10.1985123900506","85.2941176470588","DopEcR","60","0.909306900957807","[OG0000006]"
"574","DopEcR62","15.6789977694914","81.9672131147541","DopEcR","62","2.36401008040965","[OG0000006]"
"37","Dop1R26","8.36267928506705","83.4008097165992","Dop1R2","6","2.5","[OG0000006]"
"88","Dop1R213","8.80592933161024","83.6935166994106","Dop1R2","13","2.5","[OG0000006]"
"173","Dop1R223","12.0317234616151","89.9109792284866","Dop1R2","23","2.5","[OG0000006]"
"270","Dop1R236","3.47551793183786","42.2413793103448","Dop1R2","36","0.977716734072854","[OG0000006]"
"304","Dop1R240","3.07752066726098","38.2075471698113","Dop1R2","40","0.802596605321046","[OG0000006]"
"419","Dop1R251","4.09349343084658","51.5873015873016","Dop1R2","51","1.2496280223751","[OG0000006]"
"453","Dop1R254","4.59504563181234","69.3069306930693","Dop1R2","54","1.47031266979912","[OG0000006]"
"530","Dop1R259","8.37118323153441","94.2857142857143","Dop1R2","59","2.5","[OG0000006]"
"36","Dop1R16","6.10064936295379","71.336032388664","Dop1R1","6","2.5","[OG0000006]"
"46","Dop1R17","4.10344242149336","43.3867735470942","Dop1R1","7","1.81386010969538","[OG0000006]"
"87","Dop1R113","4.07307702855136","57.7603143418468","Dop1R1","13","1.79440316315937","[OG0000006]"
"134","Dop1R119","2.21581219638983","44.6428571428571","Dop1R1","19","0.604341087835184","[OG0000006]"
"172","Dop1R123","5.20268045670174","68.2492581602374","Dop1R1","23","2.5","[OG0000006]"
"190","Dop1R125","5.2473826255195","53.7993920972644","Dop1R1","25","2.5","[OG0000006]"
"269","Dop1R136","4.19648012304053","44.3965517241379","Dop1R1","36","1.87347500051187","[OG0000006]"
"312","Dop1R141","2.43694444985857","35.1219512195122","Dop1R1","41","0.746033916949837","[OG0000006]"
"327","Dop1R144","2.05742873943824","44","Dop1R1","44","0.502855213439198","[OG0000006]"
"385","Dop1R148","5.28209638287578","49.3333333333333","Dop1R1","48","2.5","[OG0000006]"
"395","Dop1R149","2.953473660828","44.7552447552448","Dop1R1","49","1.0770054693786","[OG0000006]"
"452","Dop1R154","5.97708114016099","56.4356435643564","Dop1R1","54","2.5","[OG0000006]"
"529","Dop1R159","2.92032714403435","60","Dop1R1","59","1.05576648833392","[OG0000006]"
